Unnamed:0,author sentiment,sentiment,text,date,likecount,movie
1043,@hahaimout1693,4,"""I lost… I lost Gwen, my… She was my MJ. I couldn't save her. I will never gonna be able to forgive myself for that. But I carried on, tried to… tried to keep going, tried to being the… the friendly neighborhood Spider-Man, because I know that's what she would have wanted, but, at some point I stopped pulling my punches… I got rageful, I got bitter. I just don't want you to end up like… like me.""",2021-12-16T22:08:51Z,30,sad_video1_spiderman (1).xlsx
1044,@yogeshmarvel1176,4,Her head touches the ground😢😢😢😢,2017-12-19T17:00:46Z,30,sad_video1_spiderman (1).xlsx
1045,@ryleesmith7198,4,the shot at 2:30 is so breathtaking. the art of this scene is so different. the way her body lays there and the way he's over her😭,2022-04-17T20:42:59Z,30,sad_video1_spiderman (1).xlsx
1046,@tristoons3503,0,Tobey: saves love from falling from a building Tom Holland: saves crush from falling elevator Andrew Garfield: does not save love by falling in a building damn what’s marvels deal with falling,2019-03-21T00:57:29Z,30,sad_video1_spiderman (1).xlsx
1047,@rohitchakravarthi94,0,Anyway here after Andrew saved MJ in No way home.,2021-12-16T19:26:23Z,30,sad_video1_spiderman (1).xlsx
1048,@austinparker87,1,"This was bone chilling for a spider-man movie back then, and even today rewatching it, especially after his redemption, makes it even more so. Literal goose bumps right now. Truly heart breaking for his spider-man",2022-12-04T02:19:10Z,30,sad_video1_spiderman (1).xlsx
1049,@user-ll4ws9rk9y,0,No way! Her head touched the ground first,2017-10-07T20:24:53Z,29,sad_video1_spiderman (1).xlsx
1050,@MarwanWiswasee,4,"I’ve watched this scene more than a dozen times over the years… still hurts. He kept talking to her, asking her to wake up, assuring her she’s fine up until that little bit of blood came out, that’s when he surrenders and completely collapses. This scene is was masterpiece by all means. 😢",2021-12-20T22:53:41Z,29,sad_video1_spiderman (1).xlsx
1051,@TheSelfImprovementJunkie,0,Atleast it had a twist that shes gonna die its not like other super hero movies where u know they are gonna live -_- and tbh they followed the comics,2019-07-14T23:09:19Z,29,sad_video1_spiderman (1).xlsx
1052,@beaulocon996,1,"It’s pretty beautiful how they paralleled what was literally happening to the symbolism of it all. This all happened in a clock tower, and he lost her because time escaped him if even for just a few seconds. The gears hitting the floor just after she did solidified that, and broke my heart. Time escapes us all, and there’s nothing we can do to reverse it.",2019-05-29T03:18:10Z,28,sad_video1_spiderman (1).xlsx
1053,@shinsuorain3595,1,"I love andrews version of Spider-Man the most, more than tobey and Tom. This scene broke my heart since he was the hero of the world, but couldn’t save the most important thing in his life",2021-08-29T03:49:10Z,28,sad_video1_spiderman (1).xlsx
1054,@lascannon,1,Would love to see an Amazing Spider-Man 3 so that Andrew can get the trilogy he deserves. Would be even more awesome if Spider-Gwen was also in it!,2022-01-11T04:38:55Z,28,sad_video1_spiderman (1).xlsx
1055,@jjbizzare96,0,"What hurts about this scene even more is how the last thing she saw wasn't Peter....it was Spider-man.

I'm glad our boi got the redemption he deserved.",2022-03-23T04:12:27Z,28,sad_video1_spiderman (1).xlsx
1056,@jdiegoxz,0,Hope he can save Zendaya,2021-11-18T13:27:24Z,27,sad_video1_spiderman (1).xlsx
1057,@hayfrand5094,1,"There were three things I liked about this movie.

-The soundtrack. It’s probably one of the best soundtracks of any Spiderman movie. 

-The cinematography. Especially in the swinging scenes. (And this one of course)

-The ending, with Gwen dying, and Spiderman clashing with Rhino.",2022-09-04T16:29:25Z,27,sad_video1_spiderman (1).xlsx
1058,@destroite5825,0,Imagine Andrew saving MJ in NWH,2021-11-17T09:53:07Z,27,sad_video1_spiderman (1).xlsx
1059,@Bittah1daer,0,“She was my MJ”,2021-12-16T19:22:40Z,26,sad_video1_spiderman (1).xlsx
1060,@krishnanjanchowdhury7670,0,"In an alternate dimension, Garfield saves MJ to redeem himself!",2021-12-17T22:41:26Z,26,sad_video1_spiderman (1).xlsx
1061,@collinpearce9030,1,This is actually so underrated it's insane,2021-09-12T06:14:08Z,26,sad_video1_spiderman (1).xlsx
1062,@natechenry,1,Watched No way home. That film definitely redeemed Andrew and I seriously hope Tobey and Andrew and tom can do a live action spider verse movie. That’s how well Done the film did for them.,2021-12-18T04:46:16Z,25,sad_video1_spiderman (1).xlsx
1063,@Pwn3dbyth3n00b,0,Whos here after Andrew Garfield's Spiderman with the redemption in No Way Home.,2021-12-17T22:33:28Z,25,sad_video1_spiderman (1).xlsx
1064,@LookOutProd.,0,"I rewatched this movie a lot and this scene keeps getting more sad when i look at all details in the scene:

- the clock hands spinning like time is ending

- the web taking the shape of a hand trying get her

I don't know why people hated this movie before but i think it's a masterpiece like any other spiderman movie",2022-03-19T19:27:14Z,25,sad_video1_spiderman (1).xlsx
1065,@Rebel_Friend,0,"Another Happy Lan-

Oh...

Oh shit",2018-09-16T02:32:24Z,24,sad_video1_spiderman (1).xlsx
1066,@jordanf7856,0,"Spoiler Quote:
""I lost... I lost Gwen.. My um.. She was my MJ... I couldn't save her.. I'm never going to be able to forgive myself for that.."" -Andrew Garfield",2021-12-16T17:24:07Z,24,sad_video1_spiderman (1).xlsx
1067,@anthonyorellana8096,0,"""I lost... I lost Gwen. My uh... she was my MJ. I couldn't save her. I'm never going to be able to forgive myself for that. But I carried on, tried to…tried to keep going. Tried to keep being that…. that friendly neighborhood Spider-Man, because I know that's what she would've wanted, but.. at some point, just.. I stopped pulling my punches. I got rageful. I got bitter. I just don't want you to end up like me.""",2021-12-20T10:31:13Z,24,sad_video1_spiderman (1).xlsx
1068,@steveg8029,1,Andrew and Emma performance was perfect. There is no way you could do it better. And great job on the directors part for this scene. Great job on visuals on the web making it look like a hand grabbing out for Gwen. Seriously this movie is so underrated,2020-10-03T17:52:44Z,23,sad_video1_spiderman (1).xlsx
1069,@liftbread,0,"not only did was he not able to save her, he broke his promise to her dying father.",2022-04-09T10:30:18Z,23,sad_video1_spiderman (1).xlsx
1070,@haidergoraya3098,0,"The hardest part about this job is




You can’t always save everybody. 



Yeah that quote is from Spiderverse",2022-01-30T21:51:35Z,23,sad_video1_spiderman (1).xlsx
1071,@cookiespopstar8865,1,still like andrew garfield spiderman the best. the villain seems darker and harder to defeat.,2020-08-11T12:48:01Z,23,sad_video1_spiderman (1).xlsx
1072,@Antweezywchs08,0,Dawwwggg Andrew saving MJ hit me right in the feels last night!!!😢😢😢😢,2021-12-17T18:45:52Z,23,sad_video1_spiderman (1).xlsx
1073,@Moonstreamfeline,0,I REALLY THOUGHT SHE WAS GONNA MAKE IT THOUGH AND I'M THE CYNICAL ONE GODAMMIT,2018-03-18T00:49:28Z,22,sad_video1_spiderman (1).xlsx
1074,@accepthisname,0,"I'm glad NWH was more than just a nostalgia trip. It gave these characters closure and redemption. Andrew was never my favorite Parker and I'm not gonna pretend like he suddenly is, but he completely steals NWH.",2021-12-17T09:51:54Z,22,sad_video1_spiderman (1).xlsx
1075,@GivenchyMo,1,Garfield's acting. Holy shit its amazing,2021-08-13T20:19:08Z,22,sad_video1_spiderman (1).xlsx
1076,@Paradox_Wolf_,0,"That ending where he almost sounds like he says “I can’t.....” then I immediately think “can’t live without you.” And it further along with the music makes me want to cry

Andrew Garfield is more deserving of respect as Spider-Man, Tobey and Tom as well",2021-05-29T07:37:12Z,22,sad_video1_spiderman (1).xlsx
1077,@yobitchjess1622,0,anyone notice when andrew saved mj that he didn’t use the web like he did here and that’s what killed gwen😭,2021-12-19T21:21:06Z,22,sad_video1_spiderman (1).xlsx
1078,@juanjaramillo9390,1,This is a very great & effective death scene. Perfect way to show how sometimes you are just too late,2018-09-17T23:33:18Z,21,sad_video1_spiderman (1).xlsx
1079,@woody9790,1,I love how the web has a hand shape on it. Brilliant,2020-02-15T18:47:59Z,21,sad_video1_spiderman (1).xlsx
1080,@HjalleKalleGaming,0,1:11 Why does it make a knife/scissors sound when he's cutting the web? Where did he get that from?,2019-09-01T15:35:01Z,21,sad_video1_spiderman (1).xlsx
1081,@svetlena1508,0,you better save mj andrew.,2021-11-17T07:17:11Z,21,sad_video1_spiderman (1).xlsx
1082,@PiginaCage,0,"His face after he saved MJ and said ""Are you ok?"" destroyed me",2021-12-19T22:50:15Z,21,sad_video1_spiderman (1).xlsx
1083,@MercilessAryan,0,I really hope that Andrew's version of Spiderman is the one that saves MJ where she's falling in Spiderman no way home trailer.,2021-11-19T09:50:20Z,21,sad_video1_spiderman (1).xlsx
1084,@champFichtnerBourne,0,"If you are reading this, you know now he made it, he saved someone",2021-12-16T18:19:11Z,20,sad_video1_spiderman (1).xlsx
1085,@babyo2682,0,1:28 what if she woke up and said BOO!!,2018-10-28T04:27:06Z,20,sad_video1_spiderman (1).xlsx
1086,@jsociety4964,0,Another canon event 😢,2023-06-04T13:32:38Z,20,sad_video1_spiderman (1).xlsx
1087,@cadenwitt8975,1,He is a such a good actor like my man doesnt deserve this disrespect from the toxic fan base.,2021-11-25T19:15:53Z,20,sad_video1_spiderman (1).xlsx
1088,@cliverosfield7160,0,I mean first he couldn’t save Gwen’s father and when he died he had Peter promised him that he would keep Gwen out of trouble and safe then again it’s a shame that he failed to honor that either. Now she’s dead too. Just imagine Peter’s guilt and disappointment that he would have to live with not to mention what happened to Harry. He couldn’t save him from turning into an evil goblin either.,2021-07-19T18:18:50Z,20,sad_video1_spiderman (1).xlsx
1089,@samrobertmuik3495,0,"God damnit buddy, hang in there. You'll find your retribution soon...

We know why we're here

Our boy found his peace.",2021-12-17T07:09:34Z,20,sad_video1_spiderman (1).xlsx
1090,@shajipappan8312,0,"He saved the whole world, 
But not his world 😢",2020-01-24T13:48:43Z,19,sad_video1_spiderman (1).xlsx
1091,@zabiarayyan7056,1,I dont know about you guys but I like these old spider man movie way better than the ones we have now. these movies looked so realestic and so good. nowdays spider man movies all tech and all they try is to be funny and they are not even funny.,2021-02-04T04:04:37Z,19,sad_video1_spiderman (1).xlsx
1092,@lito2009,0,"there. MJ will apparently fall in a similar way to Gwen, so it means Andrew will most likely save MJ and not tom",2021-11-18T08:03:25Z,19,sad_video1_spiderman (1).xlsx
1093,@walterbanegas1365,0,"Say what you want about this film, this scene was perfect in the most saddest way, it made me shed a few tears and I don't cry easily, it was so emotional, Andrew's performance makes this feel so real and tragic, I really think he is so underrated as Spider-Man, he was great.",2021-09-10T05:01:16Z,19,sad_video1_spiderman (1).xlsx
1094,@atharvasawant2126,0,"Who all are here after seeing MJ fall in the new Spider-Man No Way Home trailer??!!
Who all think that Garfield will swing in at the last minute to save MJ?",2021-11-17T04:56:14Z,19,sad_video1_spiderman (1).xlsx
1095,@thatguy6741,0,Yeah you know why you’re here,2021-12-17T01:01:27Z,19,sad_video1_spiderman (1).xlsx
1096,@teamgamer7458,4,RIP 😭😭😭😭😢😢😢☠☠☠,2017-09-15T11:17:03Z,18,sad_video1_spiderman (1).xlsx
1097,@anxiousscribe,1,Andrew did a great job. Hacksaw Ridge and Silence also show a wide scope of his emotional range.,2019-08-22T13:13:12Z,18,sad_video1_spiderman (1).xlsx
1098,@ippiliramya4976,0,I felt bad for Gwen's mom the most cause she lost her husband already and now she lost her daughter.,2021-09-06T05:52:10Z,18,sad_video1_spiderman (1).xlsx
1099,@BULLFIGHTERSF,0,He better save MJ from falling in NWH! Garfield Spiderman needs a little redemption.,2021-11-17T16:19:14Z,18,sad_video1_spiderman (1).xlsx
1100,@pinacolada9793,0,"Me watching this in theaters not knowing Spider-Man lore:

“Spider-Man’s gonna rescue her!”
👁👄👁

Slam!
👁‍🗨👄👁‍🗨",2021-11-24T14:29:09Z,18,sad_video1_spiderman (1).xlsx
1101,@speedy1693,1,This is why this movie in in my top 3 Spider-Man movies. This scene is so perfect for his character going through so much making him have a reason to fight.,2021-10-30T17:44:58Z,18,sad_video1_spiderman (1).xlsx
1102,@kingkluio2870,1,"Damn, this scene hits harder when you go back to it after a couple of years",2021-06-22T08:40:20Z,18,sad_video1_spiderman (1).xlsx
1103,@mantuparihar8053,1,Andrew better acts than Tom and Tobey.,2021-08-27T09:41:57Z,17,sad_video1_spiderman (1).xlsx
1104,@TheRealJordan08,4,Here after no way home when he saved mj the pain in his eyes broke me.,2021-12-18T07:37:00Z,17,sad_video1_spiderman (1).xlsx
1105,@blueeyeddrago3540,0,"Despite this movie's faults, this scene is amazingly well done.

Edit: No pun intended.",2021-12-29T23:33:08Z,17,sad_video1_spiderman (1).xlsx
1106,@andydrums4333,0,I've seen this scene again and again and again and again. There's literally nothing Peter could have done that would have saved Gwen. He didn't have any robust debris to propel himself off of so that he fell faster and caught her and not used a web. There is absolutely nothing he could have done💔💔,2021-12-29T08:39:22Z,17,sad_video1_spiderman (1).xlsx
1107,@FUBUKANI23,0,"I wish Sony will make his 3rd movie since Andrew will be glad to continue his movies. I hope if they make it, it will show what he meant by “I stop pulling my punches"" and i hope the villain is either venom or Kingpin",2021-12-20T03:05:58Z,17,sad_video1_spiderman (1).xlsx
1108,@Flesh_and_bones,4,"Andrew's panic attack/Crying acting was on point.
He really made us believe he lost someone. 
Also. This scene is saaaaaaaaad😭",2021-07-21T16:24:29Z,17,sad_video1_spiderman (1).xlsx
1109,@brie_trinh4914,0,POV: you came here after watching no way home to feel the pain yet again cause the performance and emotion was so well portrayed,2021-12-31T01:23:11Z,16,sad_video1_spiderman (1).xlsx
1110,@JRod3506,4,Who’s here to cry again after No Way Home?,2021-12-19T03:48:30Z,16,sad_video1_spiderman (1).xlsx
1111,@Ironheart73,0,"We all know what happened in NWH. This scene reminds us why THAT moment was so triumphant. It was not just about saving MJ. He also saved another version of himself from suffering the sorrow he has to carry for the rest of his life. While HE himself may never recover, he can at least find peace knowing that there is another versions of him in another universe who still has the love of his life.",2023-09-30T08:58:14Z,16,sad_video1_spiderman (1).xlsx
1112,@IshtiaqAhmadDurjoy,1,"He is gonna have the redemption by saving MJ from No way home.

But after all this years I am still sad that gwen called killed by this way. That was beautiful Troma. I legit didnt speak 2-3 min at the Cinema. It was so hard to digest",2021-11-17T12:29:29Z,16,sad_video1_spiderman (1).xlsx
1113,@stefanopezzella6488,0,Fun fact: You are here because you saw the scene of Spiderman No Way Home trailer when MJ is falling and Peter tries to save her.,2021-11-17T13:19:03Z,16,sad_video1_spiderman (1).xlsx
1114,@brianchua4240,1,"After seeing the No Way Home trailer and then the movie itself, you knew Andrew Garfield's Peter Parker was going to redeem himself for this moment.
Still, even though that was predictable, you can feel the emotions going through him.",2021-12-19T02:30:12Z,16,sad_video1_spiderman (1).xlsx
1115,@TheGreatestPitt,1,"NO WAY HOME SPOILER ALERT!!!



SPOILEEEER



SPOIILLEEEERRRRRR




spoiler




I’m so glad that Andrew got to save MJ. Truly awesome moment. I can only imagine what it would’ve been like for Andrew (Peter) if it were real.",2021-12-16T18:37:54Z,16,sad_video1_spiderman (1).xlsx
1116,@trilldyl540,0,Can’t wait to see Andrew back in no way home,2021-05-13T03:00:39Z,16,sad_video1_spiderman (1).xlsx
1117,@samuelgirma7839,0,Gwen was Peter Parker's Sunflower. R.I.P Gwen.,2020-07-25T20:13:14Z,16,sad_video1_spiderman (1).xlsx
1118,@luga1244,4,2021...and still makes me crying...Andrew Garfield reminiscing Gwen in NWH still makes me tears in the cinema.,2021-12-22T03:43:18Z,16,sad_video1_spiderman (1).xlsx
1119,@OhYeeeah,4,"I went to the cinemas 3 times, cause i couldn't handle Gwen Stacy die... everytime i rewatched i hoped he catched her😐",2018-09-18T16:11:49Z,16,sad_video1_spiderman (1).xlsx
1120,@victoriaegan8777,0,"I love how quiet this scene is, no dramatic music, just them.",2022-11-29T17:31:56Z,16,sad_video1_spiderman (1).xlsx
1121,@suspiciousprotagonist7470,0,"He should've pulled her right after the web got her


It's still sad",2020-03-30T11:39:37Z,16,sad_video1_spiderman (1).xlsx
1122,@nemajabakic4546,4,"Sad facts: because of his super powers he could hear her last heart beats and how they slow down and eventually stop. 





I have lot more of sad facts if you want some just ask",2021-11-18T01:24:23Z,15,sad_video1_spiderman (1).xlsx
1123,@unorthodoxblackgirl8112,0,All I’m saying is… you guys aren’t going to be disappointed for this new Spider-Man!,2021-12-17T13:54:54Z,15,sad_video1_spiderman (1).xlsx
1124,@elegarjohncartagena3586,0,He's going to save MJ this time.,2021-11-17T14:07:27Z,15,sad_video1_spiderman (1).xlsx
1125,@disnats67,0,Okay so basically on NWH trailer Tom Holland is fake and Andrew will do the same scene but with MJ,2021-11-17T04:10:22Z,15,sad_video1_spiderman (1).xlsx
1126,@notleks2411,1,"On the bright side, a 14 year old kid just a scholarship to Oxford. Yay!",2017-11-09T01:49:32Z,15,sad_video1_spiderman (1).xlsx
1127,@sapphmapper9388,1,"Andrew will save MJ, calling it now

EDIT: Haha yes, vindication!",2021-11-17T04:09:28Z,15,sad_video1_spiderman (1).xlsx
1128,@qshizzledizzle6785,1,"Andrew was the best representation of Spider-Man’s sorrow and it is proved in this scene. Seeing the new Spider-Man tn proved to me that his acting is so underrated, although Tom Holland is a good actor, Andrew really got to my emotions as where Tom does not.",2021-12-17T07:45:37Z,15,sad_video1_spiderman (1).xlsx
1129,@iceman3117,0,"So glad they had a redemption scene of him saving MJ, this was such a heartbreaking scene and him saving MJ was such a tearjerker",2022-03-24T14:04:25Z,15,sad_video1_spiderman (1).xlsx
1130,@anthonygarcia2390,0,"""miles, the hardest part about this job is.. you can't always save everybody."" - Peter Porker",2021-12-27T22:36:51Z,15,sad_video1_spiderman (1).xlsx
1131,@noahgassler746,1,"Say what you will about these movies.

This scene was still amazing.",2020-07-22T21:08:56Z,15,sad_video1_spiderman (1).xlsx
1132,@7Elevin,4,“Gwen she was my uh….she was my MJ”,2021-12-20T02:05:32Z,15,sad_video1_spiderman (1).xlsx
1133,@chatclipdat,1,my boy redeemed himself ❤️ no way home,2021-12-17T18:36:47Z,15,sad_video1_spiderman (1).xlsx
1134,@GaelGamaa,4,Man this scene is so heartbreaking. Andrew’s acting is incredible,2021-11-25T09:33:56Z,15,sad_video1_spiderman (1).xlsx
1135,@allennixon4745,1,Knowing he failed to save Gwen in his universe Andrew’s Peter getting redemption saving MJ is still really amazing.,2021-12-21T22:28:30Z,15,sad_video1_spiderman (1).xlsx
1136,@besserbubygeilobesser6231,0,Why 😢😢,2017-09-03T21:49:27Z,15,sad_video1_spiderman (1).xlsx
1137,@LaHer723,0,Coming back to watch this scene after Andrew saves MJ 😭,2021-12-17T19:49:20Z,15,sad_video1_spiderman (1).xlsx
1138,@miguele5077,0,andrew gonna redeem himself saving MJ,2021-11-17T15:08:21Z,15,sad_video1_spiderman (1).xlsx
1139,@jackneal8660,0,Andrew’s acting in this scene is better then Tom Holland’s spider man,2021-12-17T20:04:07Z,14,sad_video1_spiderman (1).xlsx
1140,@VolcanicDonut,0,"Lets face it, we all know why you're coming back here.",2021-12-17T17:24:27Z,14,sad_video1_spiderman (1).xlsx
1141,@Yellowhippo97,4,When he saves MJ in the NWH. Cried.,2021-12-18T20:56:45Z,14,sad_video1_spiderman (1).xlsx
1142,@nucksforcup1115,0,"What I always thought was: why only one web? I would've been firing at least 5-6, and slingshotting myself down closer to Gwen like Spider-Man can do. I almost feel like a full effort wasn't put in here. Trying to save his girlfriend's life and he just shoots one web.",2017-12-12T05:48:48Z,14,sad_video1_spiderman (1).xlsx
1143,@Roguel_Editz,0,In My Opinion This Is And Will Be The Best Spider-man.,2023-06-20T01:50:11Z,14,sad_video1_spiderman (1).xlsx
1144,@noonespecial8831,0,Finally. After all this time I forced people to watch and love my favorite The Amazing Spider-Man. And he finally came back. For me it is the best and most exciting experience ever.👑❤,2021-12-16T01:17:41Z,14,sad_video1_spiderman (1).xlsx
1145,@AceOriginalYT,0,"This is still one of the scenes that hit me, the way it was done is so well especially the silence after",2022-04-09T19:32:54Z,14,sad_video1_spiderman (1).xlsx
1146,@Person_Not_Known,0,Had to come back to this after no way home...needed more feels.,2021-12-19T05:13:23Z,14,sad_video1_spiderman (1).xlsx
1147,@biggiebossie6656,0,I know why you are here,2021-12-16T12:07:39Z,14,sad_video1_spiderman (1).xlsx
1148,@duncananderson2113,0,What makes this even more Tragic was that Spiderman came so close to saving her,2018-01-05T16:06:09Z,14,sad_video1_spiderman (1).xlsx
1149,@kaylahughes3622,0,Okay but who came back to watch this scene after watching no way home.,2021-12-19T05:13:36Z,14,sad_video1_spiderman (1).xlsx
1150,@Kritheeshwarb,0,This was the saddest death in marvel..on par with iron man’s death. Andrew will always be the best and my most fav Spider-Man..😥.He made us cry in this scene..,2021-03-07T10:29:30Z,14,sad_video1_spiderman (1).xlsx
1151,@pedroanimacoes1637,4,"0:16 when I saw THIS in the theater I thought, my God, she's gonna to die ... I wet my comic book with tears, and now I'm going to wet my popcorn with tears",2019-02-27T17:13:37Z,14,sad_video1_spiderman (1).xlsx
1152,@louiscedeno5845,0,The face that Andrew saved MJ in No Way Home and redeemed himself a bit and cried… it feels right,2021-12-20T08:58:34Z,14,sad_video1_spiderman (1).xlsx
1153,@malzdh,0,Andrew will get his redemption in exactly 29 days from now!,2021-11-18T11:50:02Z,14,sad_video1_spiderman (1).xlsx
1154,@cutzmusic,0,This is amazing scene. Andrew killed it. They should continue his spider man post this incident and flesh out how he became bitter and rage filled. I want me a dark spiderman movie.,2021-12-19T21:30:12Z,14,sad_video1_spiderman (1).xlsx
1155,@invasian4269,0,"Peter: catches Gwen
Gwen: dies
Peter: wait that’s illegal",2020-07-23T21:45:39Z,14,sad_video1_spiderman (1).xlsx
1156,@donle499,0,"When he saved MJ, I bawled like a babyyyyyyy!!",2021-12-19T19:38:43Z,14,sad_video1_spiderman (1).xlsx
1157,@minifig_studios,0,"1:47 his the moment he realized, she’s not coming back",2021-08-29T19:21:38Z,14,sad_video1_spiderman (1).xlsx
1158,@npmkstnumber1fan,0,"As much as I would like to see the original version of this scene ( in which Peter brutally beats Harry ) I think this version is ultimately better. Not only Andrew's performance is literally AMAZING, but it also showcases Spider-Man's life at it's very core; always putting his life on the line to protect other people while also sufferring the pain from the loss of his loved ones, in this case the death of the woman he loves. Peter's romance with Gwen was one of the film's primary themes and it culminates in what is arguably one of the most heartbreaking scenes in the history of superhero films. I like Tom Holland's version of Spider-Man and the original film trilogy with Tobey Maguire will always have a special place in my heart, but when it comes to the TASM films, I think that Sony did a great job at adapting the comics, using elements from both the mainstream Earth 616 version as well as the Ultimate Comics continuity. So when it comes to Spider-Man: No Way Home, I really hope that we get to see both Tom Holland , Tobey Maguire and Andrew Garfield  joining forces !",2021-11-21T17:51:34Z,14,sad_video1_spiderman (1).xlsx
1159,@anuragSingh-bz1sk,0,"He should have done tobey's method, where he shoots both webs and as soon as they attach to the person he pulls the webs quickly towards him to grab them safely.",2021-09-02T04:21:31Z,14,sad_video1_spiderman (1).xlsx
1160,@robertfranklin4838,1,"This scene is beautiful everything is shot perfectly the scenes on these films are incredible, the writing sometimes let it down but wow amazing cinematography.",2021-12-24T21:32:07Z,14,sad_video1_spiderman (1).xlsx
1161,@lukas_is_ok,0,anyone here after nwh?,2021-12-20T22:45:47Z,13,sad_video1_spiderman (1).xlsx
1162,@movieclips2494,1,"*Andrew is the better Spider-Man, I miss him a lot, there are rumors in social networks that andrew will again play Spider-Man but I do not think it's true since the actor was nominatedfor an Oscar for the best actor in a drama movie he will not to snatch his dramatic career in exchange for new fiction.*",2017-09-11T14:42:33Z,13,sad_video1_spiderman (1).xlsx
1163,@RockPandaSizzas,0,_1:36__ Oh the sound of her neck breaking_ *_shudders_*,2020-08-08T07:03:33Z,13,sad_video1_spiderman (1).xlsx
1164,@wizardpoer3358,0,The reason Andrews Spider-Man is a amazing is because the fact he shows Spider-Man can’t save everyone,2021-09-01T02:21:55Z,13,sad_video1_spiderman (1).xlsx
1165,@RealAngelOfMusic,0,"When she falls down in Slo-Mo, she looks like Harley Quinn, when she fell into the acid❤️",2019-08-23T19:35:23Z,13,sad_video1_spiderman (1).xlsx
1166,@maxshapiro078,0,Say what you may about this movie (because it ain’t great) but this particular scene was brilliant.,2019-07-15T23:54:04Z,13,sad_video1_spiderman (1).xlsx
1167,@lil_Guy00,0,0:57 Jumps down like it’s nothing lol,2022-01-31T12:04:26Z,13,sad_video1_spiderman (1).xlsx
1168,@arunmoses2197,0,The quiet piano in this scene really elevates the depressing atmosphere,2021-03-15T19:21:25Z,13,sad_video1_spiderman (1).xlsx
1169,@strawberry_twilight96,0,"""There's a cost to being a hero""
- Marc Webb",2020-07-02T22:51:47Z,13,sad_video1_spiderman (1).xlsx
1170,@jessevalencia4658,4,Why everytime I see a death in Spider-Man I always cry,2018-04-06T23:42:35Z,13,sad_video1_spiderman (1).xlsx
1171,@Jotenks,4,"He’s lost his, heaven, he’s went through hell, he’s lost his angel, he’s lost everything. No matter what, I don’t give  a DAMN what people say about Andrew, he will always have a special place in it heart.",2020-11-18T02:57:32Z,13,sad_video1_spiderman (1).xlsx
1172,@no-qq4er,1,0:49 Its funny if you keep replaying it.,2019-01-15T00:29:35Z,13,sad_video1_spiderman (1).xlsx
1173,@RinRoger,4,"Rip Gwen she didn’t deserve to die 
I feel bad for peter he lost his love of his life and now he had to live without her",2019-09-19T02:44:22Z,12,sad_video1_spiderman (1).xlsx
1174,@moisesbarcenas7035,0,"Okay, so this is a spoiler for no way home. Please, if you want to enjoy the movie WITHOUT Spoilers, please do not continue.


Are you sure?

Positive?

Last warning for spoilers


Okay so, the way that Andrew's adaptation of spiderman when he saved Tom's MJ was nerve ending. You can see that he really needed to save her there and it showed. This paralleled with this clip of him here perfectly.",2021-12-17T15:38:01Z,12,sad_video1_spiderman (1).xlsx
1175,@enma1056,0,Just came here after seeing the new Spiderman trailer...,2021-11-17T01:54:40Z,12,sad_video1_spiderman (1).xlsx
1176,@OfficialBabyboii,4,One of the saddest endings in marvel movie history alongside Gamora and Natasha’s deaths. But I feel like this one takes the crown. The cinematography for this scene alone was so well done that it can make even toughest of men cry. 😭😭😭,2021-11-29T02:59:34Z,12,sad_video1_spiderman (1).xlsx
1177,@RaynnaBaharuddin,4,She was my MJ💔,2021-12-18T15:11:58Z,12,sad_video1_spiderman (1).xlsx
1178,@hvsxkevin3353,0,"He finally got his redemption, I knew he would.",2021-12-20T03:51:03Z,12,sad_video1_spiderman (1).xlsx
1179,@halimaa7555,0,"So who’s here after yesterday SpiderMan, Andrew saved MJ😭😭",2021-12-16T14:47:21Z,12,sad_video1_spiderman (1).xlsx
1180,@AllenHanPR,0,I turned into a 10 year old girl when I saw this scene and I'm a grown man.,2020-11-29T13:33:55Z,12,sad_video1_spiderman (1).xlsx
1181,@Elli-gl7gu,0,"He saved the world, but he couldn't save his world",2021-12-19T17:16:24Z,12,sad_video1_spiderman (1).xlsx
1182,@s4gr_n0s3y,0,"NWH spoilers





This scene is something I thought wasn’t that sad, but after seeing NWH when Andrew saved MJ, oh my god now seeing this makes me feel so emotional",2021-12-19T18:54:50Z,12,sad_video1_spiderman (1).xlsx
1183,@mrcrackdonald_1,1,So glad he redeemed himself,2021-12-19T19:10:20Z,12,sad_video1_spiderman (1).xlsx
1184,@ushk5894,1,"So glad Andrew is getting the recognition he deserves, def a great Spider-Man just horrible writers that did him wrong",2021-12-24T04:19:39Z,12,sad_video1_spiderman (1).xlsx
1185,@bare-su5113,0,"I just watched Spider-Man no way home and although this was heartbreaking, the redemption of catching zendaya must have felt so relieving for him that he could save her even when he couldn’t save Gwen",2021-12-15T20:31:34Z,12,sad_video1_spiderman (1).xlsx
1186,@georgewbush7,1,At least he redeemed himself in no way home,2021-12-18T22:06:31Z,12,sad_video1_spiderman (1).xlsx
1187,@wolverinestudiox5221,1,Andrews acting in this scene is everything,2021-11-22T07:04:06Z,12,sad_video1_spiderman (1).xlsx
1188,@mambabars5516,0,Andrew did it this time.,2021-12-18T18:57:16Z,12,sad_video1_spiderman (1).xlsx
1189,@luileadnynavas3222,4,I’m crying again like it’s the first time I saw it 😭🥺,2021-12-17T18:51:43Z,12,sad_video1_spiderman (1).xlsx
