dialog,act,emotion
"[|Mum , this is for you . | | Oh , flowers ! What for , my dear ? |
 | Happy Mother's Day to you , Mum ! |
 | Oh , thank you.You are so sweet ! |]",[1 1 1 1],"[4,4,4,4]"
"[|Look , daddy is on again . Don't you think he is handsome ? |
 | To some extent , he is . And what do you think we move to a better place ? I can't see him clearly from here . |
 | The seats in the middle of this stadium are great , but they're already occupied by somebody else . |
 | Oh , thank you for pointing that out . By the way , have you been following NBA for this season ? |
 | Of course , tomorrow evening there will be a most exciting game . |
 | Who plays who ? |
 | Rockets vs Lakers . Yao Ming , my idol , will appear in front of several hundred million of the worldwide audience . |
 | It's amazing . And when did he begin to play in the NBA ? |
 | In 2002 . And since then he has attracted more attention than ever . |
 | I can't consider you as a little kid any more . I know he is very tall . |
 | Oh , you know something . He is 2.26 meters tall . But he is also nimble and skillful . |
 | I also heard if a player has committed 5 fouls then he must be out of the game . |
 | Yes , what's worse is he can't take any further part in the game . |
 | That's really terrible . Oh , God , we forgot to cheer for Daddy . |
 | Never mind . After all he is not so attractive as Yao Ming , right ? |
 | You are always so naughty . |]",[2 1 1 2 1 2 1 2 1 1 1 1 1 1 2 1],"[4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0]"
"[|Is that Mr . Green ? | | This is him speaking . |
 | I am calling to inform you that we're happy to have you with us . Welcome aboard , I'm sure your friend would have given you a lot of information of our school and its motto , ways of teaching , etc . |
 | Yes . I am very glad to have the chance . |]",[2 1 3 4],"[0,0,4,4]"
"[|I'm so nervous about this oral test . |
 | Just calm down . I'm sure you'll do well . |
 | I just want to get it over with . |]",[1 3 3],"[3,0,0]"
"[|I had a wonderful evening . |
 | I did , too.Come and visit us again , will you ? | | I will . |]",[1 2 1],"[4,0,0]"
"[|Do you know Sally ? |
 | Sally ? She is a bachelor girl . She is an excellent designer . Many of the company's advertisements are her child trains . |
 | Why is she still single ? She must have a face that would stop a clock . |
 | Oh , quite the other way round . She is a knock-out . She devotes much of her time to her career . |]",[2 1 2 1],"[0,4,0,0]"
"[|Do you hear what happened to Sally ? | | No , what ? |
 | She had to go to the hospital . | | Why ? |
 | She passed out in class . Seems she hadn't eaten anything in days . |
 | Why on earth would she do that ? You mean that she intentionally did not eat any food for days ? That's crazy ! |
 | Yeah , but that's what she did . |
 | I can't believe that there are girls who are willing to do that to their bodies . And all for a certain look . |
 | Well , it's not just the girl ’ s fault . It's also society's fault - magazines and ads that show - thin models all saying , It's in to be thin . It's hard for them not to listen . |
 | True , but there are limits . Being thin is one thing ; starving oneself to death is another . No one forces them to do this . |]",[2 2 1 2 1 2 1 1 1 1],"[0,0,0,0,0,6,0,6,0,0]"
"[|Hi , Mark , did you catch the game last night ? |
 | No , I was out . Was it worth watching ? |
 | You didn ’ t hear ? Spain won , two to zero . |
 | Oh , really ? So , Spain is through to the next round ? |
 | Yeah . The final is next week . You have to watch it . |]",[2 2 2 2 1],"[0,0,0,6,0]"
"[|Get up as early as six o'clock only to be jammed at every crossroad and still late for work . What a life ! I've had enough of it . |
 | Cool down , man . Everyone is fed up with the rush-hour traffic . But life isn't really all that . You should take the initiative and make some changes first . |
 | What should I do then ? |
 | I recommend you ride a bike instead of commuting by bus . It may offer you many benefits . First , it's good for your health . I'm afraid it's not necessary for me to further elaborate . While lots of people spend time like an hour each morning exercising , a bike ride to work not only builds you up , but also makes full use of time . You might as well sleep out for a longer hour . |
 | I know cycling is always a more favorable choice than a bus . After all , it's a sport . But do you think it a pleasant experience to take in the dirty , polled air on the road ? |
 | Well , such things are just unavoidable in a great metropolis like Beijing . I think a still more desirable benefit is psychological . Bicycling home after work can help release your stress . Life in the offices is miserable . You just sit there in a daze , gazing at the monitor and dealing with files and documents . Why don't you give a full play to your energy after work ? Enjoy the speed on the road . Just think , you are flashing past the poles with your own energy . How great ! |]",[1 1 2 1 2 1],"[2,4,0,4,2,4]"
[|I'm terribly nervous . | | Calm down ! |],[1 1],"[3,0]"
"[|What's the problem , Nada ? You look down in the dumps . |
 | I don't know . My life is a big mess . Everything is so complicated . |
 | Come on , nothing can be that bad . |
 | But promise me , you'll keep it a secret . |
 | Ok , I promise . So what's troubling you so much ? |
 | I've fallen in love with my boss . | | Really ? Is he married ? |
 | Bo , of course not . He is still single . |
 | Then what's your problem ? |
 | I try to keep it to myself . But there is a lot of gossip about us . |
 | Oh , I see . Office romance tends to be the subject of gossip . |
 | Worse still , he is trying to avoid me these days . |
 | Office romance is very tricky . |
 | It gives me a lot of pressure and I feel depressed . |
 | Cheer up , Nada . You'll be fine . |]",[2 1 1 1 2 1 2 1 2 1 1 1 1 1 1],"[0,0,0,0,0,0,6,0,0,5,0,5,0,5,0]"
"[|Did you happen to bring that book that we were talking about yesterday ? |
 | I did . Let me go get it for you . Here you go . | | Thanks so much . |
 | I like the way that the gifts I get increasingly more lavish . |
 | I had no idea that there were specific things that should be given on different anniversaries . |
 | So what does it say you should give your wife this first anniversary ? |
 | It says that traditionally , give something made of paper . |
 | I can think of two things made of paper — stationery and money . |]",[2 1 1 1 1 2 1 1],"[0,0,4,4,0,0,0,0]"
"[|What stresses you out the most ? | | Probably my parents . |
 | How so ? |
 | Well , during school , they wanted good grades . Then after I got a job , they wanted me to get a better job . And finally , they want me to get married . |
 | You have to deal with a lot of pressure from your parents . |
 | Your parents are not like that ? |
 | Ever since I brought home some bad grades in elementary school , they never expected much . |
 | You're lucky . | | What do you do to deal with the stress ? |
 | Not much I can do . It's always there . I sometimes go out with some friends and drink , but that's only a temporary solution . The stress always returns in the morning . |
 | That sucks . You wanna go grab a beer ? |
 | Sure . Sounds great . Let's go . |]",[2 1 2 1 1 2 1 1 2 1 3 4],"[0,0,0,0,0,0,0,0,0,0,4,4]"
"[|Tony looks very handsome in the suit . |
 | He prefers suits to jackets . |
 | Judge from his look , he's a very serious person . |
 | As a matter of fact , he is . |]",[1 1 1 1],"[4,4,0,0]"
"[|Hey there , you look a little lost . Are you new here ? |
 | Yeah how ’ d you know ? |
 | You can always spot the newbies . I can give you a few pointers if you want . Were you trying to use this machine here ? |
 | Yeah ! I just started my training today and I ’ m not really sure where to begin . |
 | It ’ s ok , I know how it is . This machine here will work out your upper body , mainly your triceps and biceps . Are you looking to develop strength or muscle tone and definition ? |
 | Well , I don ’ t want to be ripped like you ! I just want a good physique with weights and Carpio . |
 | In that case you want to work with less weight . You can start off by working ten to fifteen reps in four sets . Five kilo weights should be enough . Now it ’ s very important that you stretch before pumping iron or you might pull a muscle . |
 | Got it ! Wow is that the weight you are lifting ? My goodness that ’ s a lot of weight ! |
 | It ’ s not that much . Just watch ... I ’ m ok ... |]",[2 2 3 4 2 1 3 1 1],"[0,0,0,0,0,0,0,6,0]"
"[|Gordon , you're ever so late . |
 | Yes , I am sorry . I missed the bus . |
 | But there's a bus every ten minutes , and you are over 1 hour late . |
 | Well , I missed several buses . |
 | How on earth can you miss several buses ? |
 | I , ah ... , I got have late . |
 | Oh , come on , Gordon , it's the afternoon now . Why were you late really ? |
 | Well , I ... I lost my wallet , and I ... | | Have you got it now ? |
 | Yes , I found it again . | | When ? | | This morning . I mean ... |
 | I am not convinced by your explanation . |]",[1 1 1 1 2 1 2 1 2 1 2 1 1],"[0,0,0,0,6,0,0,0,0,0,0,0,0]"
"[|Linda , John and I are going to get married next week . |
 | That's wonderful . Congratulations . |
 | Thank you , Linda . We would love you to come to our wedding . |
 | I'd love to . What date is it ? | | It's May 1st . |
 | What day is that ? | | It's Saturday . Could you make the time ? |
 | Yes , sure . What time will the wedding begin ? | | At nine sharp . |
 | Very good ! I'm looking forward to it . Please give my best regards to John . And I wish you best luck ! |
 | Thanks . |]",[1 1 3 2 1 2 3 2 1 3 4],"[0,4,4,4,0,0,0,0,0,4,4]"
"[|Tony looks very handsome in the suit . |
 | He prefers suits to jackets . |
 | Judge from his look , he's a very serious person . |
 | As a matter of fact , he is . |]",[1 1 1 1],"[4,4,0,0]"
"[|You are friend of Janet , right ? I am Andrew , Andrew Smith . |
 | Nice to meet you , Andrew . I am Noirin , Noirin O'Neil . |
 | I'm sorry , I didn't quite catch that . |
 | Noirin , N-O-I-R-I-N , it's an Irish name . |]",[2 1 3 4],"[0,4,0,0]"
"[|it's getting cold . |
 | yes . I bought a scarf yesterday . It's really nice and warm . Have a look . |
 | Oh , it's made of wool . I like the striped pattern . |
 | yes , I adore simple fashions . How does it look on me ? |
 | it looks great , but you need something to go with it . It's too plain on its own . |
 | how about this blue sweater ? |
 | that's a good idea . When did you buy it ? Is it a name brand ? |
 | yes , but I bought it when it was on sale , 50 % off the original price . OK , what do you think ? |
 | that looks lovely . Just one more thing---you need a pair of earrings . |
 | I've got a pair of pearl earrings . Here it is . | | perfect ! |
 | you have good fashion sense , Karen . |
 | thanks . We should be ourselves . There are so many fashion victims out there . |
 | yes , but with our sense we'll always look good . |]",[1 1 1 2 1 2 2 2 1 1 1 1 1 1],"[0,4,4,4,4,4,4,4,4,4,4,4,4,4]"
"[|Susan ? What brings you here today ? |
 | Well , I ’ Ve got some papers due . |
 | Really ? So what ’ s the news ? |
 | Not too good yet . Better than I was though . |]",[2 1 2 1],"[6,0,6,0]"
"[|So Alex , you ’ re off to the Olympic stadium then ? |
 | Yes , I should get there just in time for the women ’ s 400m relay . |
 | Wow , that should be really exciting , especially with so many famous athletes there . |
 | Yes , I ’ m also going to watch the triple jump and the high jump . |
 | Well have a good time . Get me some autographs if you can . |
 | Ok , I ’ ll try my best . |]",[2 1 1 1 3 4],"[0,0,4,4,4,4]"
"[|I am having a hard time at my job . | | What's wrong , Julia ? |
 | My colleagues quickly get promotions , while I always get sidelined . I don't know what to do anymore . |
 | Don't give up so soon . |
 | But I don't know what else I can do . I am willing to work hard . Sometimes I make mistakes and the boss is not happy . |
 | Mistakes are just a lessons to learn from . |
 | Tell that to my boss . | | Do you know Abraham Lincoln ? | | Yes . |
 | He grew up poor in Kentucky and barely had a year of schooling , but he went on to become the President of United States . |
 | He was also assassinated because of his views . |
 | He is known as American's greatest president . Do you know why ? Because he fought against slavery and secession at a time in history where others were too afraid to do anything . He succeeded because of his ambition and generous spirit . |
 | Well , if he can become president , then I can at least get a promotion . |
 | That's the spirit . Never give up on your dream . |]",[1 2 1 3 1 1 1 2 1 1 1 1 1 1],"[5,0,5,0,5,0,0,0,0,0,0,0,4,4]"
"[|Well , my particular interest is collecting stamps , especially the rare ones . What about you ? |
 | I ’ m afraid that ’ s not my cup of tea . I just find skin-diving attracting . |
 | So have you ever been to the stamp display of the town ? |]",[2 1 2],"[4,0,0]"
"[|Hello ! | | Oh , hi ! |
 | Please allow me to introduce myself . My name is Tom . |
 | Pleased to meet you . My name is Alice . Did you just move in next door ? |
 | Yes , I did . Have you lived here long ? |
 | Me ? I guess so . I've lived here for about six years now . Have you lived in America very long ? |
 | No , not really . When I left Vietnam , I came to America and I lived with a cousin in Dallas for two years . Where do you work , Alice ? |
 | I teach mathematics at a college . What do you do ? |
 | I am an accountant at a company . |
 | Well , Tom . It's good to meet you . I have to go now . I am teaching a class this evening , and I need to get to the college . |
 | It's nice meeting you too , Alice . | | See you around ! |
 | Goodbye , Alice . |]",[1 1 1 2 2 2 2 2 1 1 1 1 1],"[0,0,0,0,0,0,0,0,0,4,4,4,4]"
"[|Excuse me . I am interested in getting a library card . |
 | Sure , let me give you an application . You can fill it out right here at the counter . |
 | OK , here it is . |
 | Let me take a look at this for you . May I have your driver's license , please ? |
 | Here's my license and form . |
 | You seem to have filled the form out all right . Are you familiar with our rules and fines ? |
 | Yes , I know what to do . |
 | The hours and limitations are printed on the card and this handout . |
 | OK . |
 | Thank you for joining the library ; we look forward to serving you . |]",[3 3 4 3 4 2 1 1 1 1],"[0,0,0,0,0,0,0,0,0,4]"
"[|Hey , Frank . I heard you got a new job . |
 | Yeah , Judy . I will be working for the Post Office . It ’ s not a bad job . |
 | Is it true that you have a heavy work schedule ? |
 | That ’ s right . I report to work at 5am everyday , and I only get 45 minutes for lunch . |
 | So , why did you apply for such a demanding job ? |
 | Well , the government offers its employees excellent health insurance benefits . |
 | Oh , I see . And can your family utilize 5 the health insurance , too ? |
 | Yeah , that ’ s the best part . All of my children can get free medical care . |
 | That ’ s a great employment benefit ! |
 | Now you know why I wanted to work for the Post Office ! |]",[1 1 2 1 2 1 2 1 1 1],"[0,0,0,0,0,0,0,0,4,4]"
"[|He has come to life in the end . |
 | Oh , thank God . We all felt frightened by the bad new about him . |
 | Yes . Fortunately , an ambulance passed in the nick of time , and we got him away to hospital . |
 | Right . Unless , who know what will happen . |
 | Wish him to be healthy soon . |]",[1 1 1 1 1],"[0,5,0,0,0]"
"[|Harry , do you like the opera ? | | No , not really . |
 | Why is that ? It is called real art . |
 | Well , it's very expensive and they're usually singing in another language . That kind of gets on my nerves . |
 | Yeah , that makes sense . |]",[2 1 2 1 1],"[0,0,6,0,0]"
"[|Lisa wins the first prize in the English speech contest of her college . |
 | Really ? That's really wonderful . I'm so happy for her . |
 | But I always feel disappointed . I have many problems with English learning . |
 | Honey , cheer up . | | I feel confused about the grammars . |
 | I'm sure you'll do fine if you try your best . |
 | And my writing is not good . I feel so frustrated . |
 | Be confident , and never give up . |
 | I know that , mom . But sometimes I'm just sad . |
 | Keep your chin up . Remember ? Nothing is impossible to a willing heart . |
 | Yes , mom . You are right . Nothing is impossible to a willing heart . I will keep going . |]",[1 1 1 1 1 1 1 1 1 1 1],"[0,4,5,0,5,0,5,0,5,0,4]"
"[|how did you do on your BELTS exam ? |
 | fantastic ! I got an overall score of eight . |
 | that's excellent ! Have you received your conditional offers yet ? |
 | yes . I'm just waiting until I officially get admitted to the university with a conditional offer to apply for my visa . |
 | do you know where the visa office is ? | | no . |
 | it's just near the Dong Si Shi Tiao subway stop . |
 | that's not too far away . Do you think I'll get a visa ? |
 | have you ever gone abroad before ? |
 | yes , I've been to Tailband , Egypt , and Japan . |
 | have you ever been denied a visa before ? | | never . |
 | that's good . Are you planning on immigrating to another country ? |
 | no , I want to come back to China after I graduate . |
 | that's exactly what the visa officers want to hear . Do you have enough money for tuition and room and board ? |
 | I've received a full scholarship , so I won't need any other money to live off while I'm studying . |
 | I think you have a very good chance of getting a visa . I can help you prepare for the visa interview if you want . |
 | that's be great . The more prepared I am , the better . |]",[2 1 2 1 2 1 1 2 2 1 2 1 2 1 2 1 3 1],"[0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4]"
"[|I dislike Susan . She is always above herself . |
 | Don ’ t you know that she was the only one who had received the invitation in the office ? |
 | What of it ? | | Sure . |]",[1 1 2 1],"[2,0,6,0]"
"[|What can I do for you ? | | I ’ m returning these books . |
 | Let me have them . | | Here are all of them . |
 | These books are two weeks late . |
 | I didn ’ t have time to return them . |
 | You ’ re going to have to pay late fees . | | How much ? |
 | 25 cents a day . | | 25 cents a day ? |
 | That means 25 cents for each late book . | | That ’ s expensive . |]",[2 1 3 4 1 1 3 2 1 2 1 1],"[0,0,0,0,0,0,0,0,0,6,0,6]"
"[|I hear you're entering the speech contest , Mike . |
 | That's right . I thought I'd give it a shot . |
 | Well , I wish you good luck ! |]",[1 1 1],"[4,4,4]"
"[|What shall we do after the volleyball match ? |
 | How about going to the Olympic souvenir store to have a look ? I remember there is one in the gym . |
 | That's a good idea . I was thinking of buying some gifts for my family . |
 | Me , too . What did you have in mind ? |
 | I haven't decided yet , but I think the Olympic Mascots are a must . |
 | I agree . They're very lovely , especially Huanhuan |
 | Is that the red one ? That is my favorite , too . Do you know how much they are ? |
 | The five dolls are sold together as a set , and they're priced according to the size . The bigger they are the more expensive . |
 | Oh , I see . If I buy more than a set , can I get any discount ? |
 | I don't think so . All the souvenirs of the Olympic Games are very hot right now . |
 | Any other ideas ? |
 | There are lots of things , such as postcards , key chains , posters and various arts and crafts . |
 | It all sounds great . We can go there after the match . I can't wait to see what they have . |]",[2 3 4 2 1 1 2 1 2 1 2 1 1],"[4,4,4,4,4,4,4,4,4,4,4,4,4]"
"[|Cindy , I heard you got into that university . Congratulations ! |
 | Thanks ! I'm so happy . It's like a dream come true . |]",[1 1],"[4,4]"
"[|Who's that old lady trimming the trees ? | | She's my grandma . |
 | She looks very healthy.How old is she ? | | 92 . |]",[2 1 2 1],"[0,0,4,0]"
"[|Are you feeling better today , Bill ? |
 | Well , it's hard to say . I cough a lot in the evening . |
 | You'd better give up smoking . It's bad for your health . |
 | You're right , but you know , it's hard to give up an old habit . |
 | But you should make up your mind first . |
 | You know , I often have to work til late at night . I need something to keep me awake . |
 | Why don't you go to bed and get up early ? You'll have the same time for work . |
 | Thank you for your advice ! I'll try it . |]",[2 1 3 4 3 4 3 4],"[0,0,0,0,0,0,0,4]"
"[|Hello , Julia , I know a party that will begin at midnight . Would you love to go ? |
 | I'd love to , but my mother asks me to go home before 11:00 every night . She will worry if I get home late . |
 | What a pity ! The party is very interesting . |
 | I have no choice . My mother is always very strict with me . |
 | Don ’ t complain about it . She is concerned about your safety . |
 | You're right . Mother's love is the greatest love in the world . |]",[3 4 1 1 1 1],"[4,4,0,0,0,4]"
"[|Steven , why are you so depressed ? |
 | I'm feeling very sad . I just read the newspaper . |
 | What's the news ? |
 | According to the newspaper , the town was razed by an earthquake and more than 10 thousand people died in the earthquake . |
 | It's horrible . |
 | Yeah , we have to do something to help the people in the stricken area . |
 | Yes . How about donating some money ? |
 | It's a good idea . But where can we donate money ? |
 | Just find the answer through Internet . | | Yes , let's do it now . |]",[2 1 2 1 1 1 3 2 1 4],"[0,0,0,0,0,0,4,4,4,4]"
"[|Who's that over here ? | | That's the new teacher . |
 | What do you think of the teacher ? | | She's very nice . |
 | What does she teach ? | | English , of course . |
 | Is she your teacher ? |
 | Yes.She teaches our class three times a week . |
 | Can she speak Chinese to her students ? | | Not very much . |
 | It's a good thing you can speak English ! |]",[2 1 2 1 2 1 2 1 2 1 1],"[0,0,0,0,0,0,0,0,0,0,4]"
"[|Judy , what is everybody talking about ? |
 | Haven ’ t you heard ? Richard was fired by our manager . |
 | You ’ re kidding . It can ’ t be true . |
 | Believe it or not . Everybody is talking about it in the company . |
 | Really ? I ’ m surprised . | | Me too . |]",[2 2 1 1 2 1],"[0,0,6,0,6,0]"
"[|Hi , Mike . Haven't seen you for a while . How's Cathy ? |
 | We are not seeing each other any more . |
 | What happened ? Did you break up ? |
 | Yeah . I got sick and tired of her nagging all the time . |
 | Oh , I am sorry . Maybe you were just emotional at that moment . Do you think you guys can get back together ? |
 | I don't know . There ’ s plenty of fish out there in the sea ! |
 | Oh , you are such a dog ! |]",[2 1 2 1 2 1 1],"[0,0,0,0,0,0,2]"
"[|They're very good friends , aren't they ? |
 | I wouldn't say that.They seem to be on good terms but actually they always speak ill of each other . |
 | Oh , it's unbelievable ! |]",[2 1 1],"[0,0,6]"
"[|I went to Jessie's birthday party yesterday . It was very good . |
 | I didn't know about it . What did you do ? |
 | We ate a lot of things . We played games and gave gifts to Jessie . We had a lot of fun . |
 | You were really lucky . |
 | My birthday comes next month . I want to hold a birthday party , too . |
 | I hope I can go to your party . |]",[1 2 1 1 1 1],"[4,4,4,4,4,4]"
"[|Hello , Ann ! Is that you ? |
 | Yes , it is . Hi , Tom ! It's a real surprise to see you here . |
 | It's been a long time ! What's new ? |
 | Nothing much . What about you ? Is everything going well ? |
 | Not bad I guess . I just got back from Hawaii . | | How was it ? |
 | I had a good time . You seem to be in a hurry . Don't let me hold you up . |
 | Sorry , I've got a meeting in half an hour . |
 | Ok , I won't keep you then . |
 | Great ! It's good to see you . Goodbye ! |
 | Yes , stay in touch . Bye ! | | Give me your email , would you ? |
 | Sure ! It's txyb@gmail.com . |]",[2 1 2 2 1 2 1 1 1 1 1 3 4],"[6,6,4,4,4,0,4,0,0,4,4,4,4]"
"[|I can ’ t believe it ! | | What ’ s wrong ? That was a great goal . |
 | Yes , but I bet $ 200 dollars on the Cougars ! |
 | Looks like you ’ re going to lose out on this game then . |
 | I can ’ t believe it ! I thought the Cougars were going to win for sure . |
 | What were the odds ? | | 20 to 1 , in favour of the Cougars ! |
 | Too bad . |]",[1 2 1 1 1 2 1 1],"[6,0,6,0,6,0,6,0]"
"[|Jenny , I was wondering ... if you .. eh are you busy this Friday ? |
 | Yes , Friday I have a class , right after work . |
 | Oh , what about Saturday ? Are you free then ? |
 | Saturday my parents are coming to town . What ’ s up ? |
 | What about tonight ? Do you have plans tonight ? |
 | No , do you want to go and do something ? |
 | Yes , yes , I want to take you to dinner . |
 | Oh , that sounds great . How about 6 o ’ clock ? |]",[2 1 3 2 3 2 3 4],"[0,0,0,0,0,0,0,4]"
"[|Excuse me ? Is this where I register ? I ’ d like to sign up for my courses for next semester . |
 | Yes , of course . I need your student ID please . | | Here you are . |
 | Okay , Susan . It says here that you are a business major and you are in your second year . Is this information correct ? |
 | Yes . I do want to take some additional credits this year to get a minor in psychology . |
 | Sure.That ’ s not a problem.Do you have the list of courses you want to taketh semester ? |
 | Yeah . Here ’ s my list . I ’ m not sure if the class schedule will allow me to take all of them though . |
 | Yeah , that ’ s perfect . What about the subjects for your minor ? |
 | Oh yeah ! Almost forgot ! I need to take fundamental linguistics , consumer psychology and neuroanatomy . |
 | Wow , you are going to be busy this semester ! Okay , here you go . You are registered now . you ’ ll have to make your first tuition payment before classes start . |]",[2 3 4 2 1 2 2 2 1 1],"[0,0,0,0,0,0,4,4,4,4]"
"[|Is your city a historical place ? |
 | Not rally . 200 years ago , it was just a small insignificant village . |
 | How did it grow into such a large place ? |
 | Large deposits of coal were found nearly and so many industries located themselves here . The village quickly grew into a key industrial centre . |
 | As the city grew , it must have absorbed many village nearby . |
 | Yes , it did . The names of those village survive as the names of parts of the city . |
 | I see . Are there any building more than 200 years old in your city ? |
 | Oh , yes . Several of the buildings from the villages still survive . Many of them were inns for travelers and today survive as pubs . There was a castle near one village , so our city has a castle too . |
 | Really ? So your city does have some old history after all . |]",[2 1 2 1 1 1 2 1 1],"[0,0,0,0,0,0,0,0,6]"
"[|Did you watch the old-fashioned wrestling game last night ? |
 | Yes , of course . And I'm amazed the those karate and judo boys were so helpless before the wrestlers . |
 | You bet . The wrestlers had got sound defences and they simply couldn't make it . |]",[2 1 1],"[0,4,4]"
"[|Do you mind if I get a lift in your car , please ? |
 | I don ’ t see any problem , only the car is a bit old . |
 | Oh you ’ re so kind ! | | Get in . |]",[3 4 1 1],"[0,0,4,4]"
"[|Fred , can you tell me how I can open my QQ Zone ? |
 | Click your right key of mouse and choose QQ Zone . |
 | Well , I have to provide some of my information , right ? |
 | Yep ! The nick name for your zone , address , gender and so on . Some of them are privacy , so you have the right to keep secret here . |
 | All information is filled in and now I can design my zone . |
 | You can choose one type to make it as your background , and then find a music player and put your favorite songs into it , so your visitors can enjoy the music after entering into your zone . |
 | Now everything is OK . I can write my blog , right ? | | Certainly . |
 | ( Half an hour , Janice begins shouting excitedly . ) What's the matter with you ? |
 | Look ! David gives his following-comment on my first blog . He is my first visitor . |]",[2 1 2 1 2 1 2 1 2 1],"[0,0,0,0,0,0,0,0,0,4]"
"[|Hi Bill , I saw your grandma yesterday . | | Oh where was that ? |
 | I was running around the track at my college and there she was walking around the same track . |
 | Grannie always tries to stay fit and healthy . She is always making us kids eat the proper foods . |
 | Well , it pays off for her . How old is she anyway ? |
 | She will be 86 next month . | | That is truly amazing ! |]",[1 2 1 1 2 1 1],"[0,0,0,0,0,0,6]"
"[|What time shall I pick you up ? | | How about 6:30 ? |
 | That'll be fine . See you soon . |]",[2 3 4],"[4,4,4]"
"[|Hi , Zhengjun , what make you so happy . |
 | You know what , I've just got a new job with a computer company . |
 | Oh , congratulations ! |]",[2 1 1],"[4,4,4]"
"[|Hi , Linda . I haven't seen you for ages . |
 | Yes . I miss you very much . | | So do I . |
 | Have you graduated from college ? |
 | Yes . I graduated last year and got a job in a press . |]",[1 1 1 2 1],"[4,4,4,0,0]"
"[|Has the train come yet ? | | No , I ‘ Ve been waiting for ages . |
 | It ’ s so unreliable . I ’ Ve been late for my meetings all this week . |
 | Yes , me too . I think I ’ Ve lost some important clients recently because of this train ! |
 | Yes , my customers have started to complain too ! |
 | Oh look ! Here it comes now ! |]",[2 1 1 1 1 1],"[0,0,0,1,0,0]"
"[|I've got some bad news about the bike you lent me . | | What's that ? |
 | I fell on the way to school , and your bike got scratched . I'm really sorry . |
 | Don't worry about it . It's not new , it already has a few scratches . Did you get hurt ? |
 | No , thank you . | | That's the most important thing . |
 | It's kind of you to say . I feel a little stupid . |
 | Forget about it . |
 | When you lent me the bike , it looked brand new , almost anyway . |
 | Maybe , but really I have fallen a couple of times and it's been hit once or twice as well . |
 | I appreciate that , thank you . |]",[1 2 1 2 1 1 1 1 1 1 1],"[0,0,0,0,4,0,0,0,0,0,4]"
"[|Hello , Jane . What do you do in your spare time ? |
 | Well , nothing special , reading , watching TV , walking , and so on . |
 | Don't you have any hobbies , like stamp collecting or things like that ? |
 | No , I don't have any hobbies . How about you ? |
 | I like collecting antiques . It's expensive , but it's a lot of fun . |
 | Really ? How many collections do you have ? |
 | So far I have more than 500 collections . |
 | Among those collections , which is the most expensive ? |
 | A set of ancient china . It is really invaluable . |]",[2 1 2 2 1 2 1 2 1],"[0,0,0,0,4,6,4,0,0]"
"[|It seems to me that everything is going digital nowadays . |
 | Yes . Speaking of digital wares , I bought a digital camera last week . |
 | Cool ! What brand |
 | A Sony . It's only one third the size of my old camera and looks rather smart . |
 | What about the quality ? |
 | Superb ! It's a 4 megapixel one and the photos it takes are very vivid and clear . |]",[1 1 1 1 2 1],"[0,0,4,0,0,4]"
"[|It's four o'clock already . I hate to leave , but I think I must . |
 | Can you stay a little longer ? | | I'm sorry , but I can't . |]",[1 3 4],"[0,0,5]"
"[|Happy Thanksgiving ! | | You , too . | | Let's have pumpkin pie . |
 | It's my favorite . |]",[1 1 3 4],"[4,4,4,4]"
"[|Are you going anywhere for your vacation ? |
 | Yes , we're making plans for a tour . |
 | That'll be lovely . Where are you going ? |
 | Well start out from Long Island this Friday . We've planned a four day drive to Salt Lake City , where we'll join my brother and his family on his fortieth birthday . |
 | Well , you've got to prepare a lot of food and enough sleeping bags then . |
 | Oh , we'll spend the nights in hotels and enjoy local food as we pass by . How does it sound , David ? |
 | It sounds good . You can do a lot of sightseeing , too . |
 | Yes , we'll take our time . And we'll go to Five-lake Strict and the Wall Street . |
 | So , you're going to have a really nice vacation . |
 | You can say that again . |]",[2 1 2 1 1 2 1 1 1 1],"[0,0,0,0,0,4,4,4,4,4]"
"[|Would you like to book a table , sir ? |
 | Yes , would you arrange it for me the day after tomorrow ? |
 | Sure , when ? | | Six o'clock in the afternoon . |
 | For how many guests , please ? | | Six . |
 | How much would you like to spend ? |
 | We don't care about money . We'd like to have some good dishes of local specialties . |
 | OK . | | How many courses are there altogether , please ? | | Eight . |
 | Could you tell me some of entrees about the dinner ? |
 | Sure . The main courses are roast Beijing duck and fried eel slices . |
 | Very good . |]",[2 3 2 1 2 1 2 1 4 2 1 3 4 1],"[4,4,4,0,0,0,0,0,4,0,0,0,4,4]"
"[|Did you watch TV last night , Rose ? |
 | Yeah . I saw a science program . It was quite interesting . |
 | What was it about ? |
 | Mars . Scientists say there might be water on it . |
 | If so , we may live there someday . |
 | I hope so . Did you know the US successfully sent two robotic explorers to Mars last month ? |
 | Sure . I heard about this on the TV . On January 3rd , 2004 , Explorer Spirit landed near the so-called Guser Crater . And three weeks later , Spirit's twin explorer , Opportunity , landed on Meridian Planum named by scientists . |
 | Yes . Both have sent back pictures of the planet . And the latter did a better job . |]",[2 1 2 1 1 2 1 1],"[0,4,0,0,0,0,0,0]"
